,geneID,x,y,MIDCounts,newx,newy
21384132,F13a1,5608,11732,1,2383,5557
21384133,F13a1,11598,8248,1,8373,2073
21384134,F13a1,4062,10859,2,837,4684
21384135,F13a1,11000,10617,1,7775,4442
21384136,F13a1,5827,14325,3,2602,8150
21384137,F13a1,7451,6356,1,4226,181
21384138,F13a1,7845,12301,1,4620,6126
21384139,F13a1,10976,8971,1,7751,2796
21384140,F13a1,9701,16046,1,6476,9871
21384141,F13a1,8686,6591,1,5461,416
21384142,F13a1,13582,10843,2,10357,4668
21384143,F13a1,13590,11119,2,10365,4944
21384144,F13a1,8318,12587,1,5093,6412
21384145,F13a1,10857,12926,1,7632,6751
21384146,F13a1,8674,11224,3,5449,5049
21384147,F13a1,11605,7632,2,8380,1457
21384148,F13a1,8659,11276,3,5434,5101
21384149,F13a1,8844,12417,2,5619,6242
21384150,F13a1,11827,15682,1,8602,9507
21384151,F13a1,5338,14479,4,2113,8304
21384152,F13a1,8375,6957,2,5150,782
21384153,F13a1,12982,12654,1,9757,6479
21384154,F13a1,11587,7086,1,8362,911
21384155,F13a1,7983,15511,1,4758,9336
21384156,F13a1,5449,13881,1,2224,7706
21384157,F13a1,4335,10130,1,1110,3955
21384158,F13a1,6694,16195,1,3469,10020
21384159,F13a1,8392,6505,1,5167,330
21384160,F13a1,11585,14460,1,8360,8285
21384161,F13a1,6578,13447,1,3353,7272
21384162,F13a1,6727,12067,1,3502,5892
21384163,F13a1,9592,13976,1,6367,7801
21384164,F13a1,9260,6546,2,6035,371
21384165,F13a1,10767,15563,1,7542,9388
21384166,F13a1,13555,11611,1,10330,5436
21384167,F13a1,9168,18433,1,5943,12258
21384168,F13a1,5898,14889,2,2673,8714
21384169,F13a1,8345,12992,1,5120,6817
21384170,F13a1,6830,18489,1,3605,12314
21384171,F13a1,6395,7485,2,3170,1310
21384172,F13a1,11094,10624,3,7869,4449
39970348,Lyz2,6887,15546,1,3662,9371
39970349,Lyz2,6989,12398,1,3764,6223
39970350,Lyz2,6379,15607,1,3154,9432
39970351,Lyz2,10205,17778,2,6980,11603
39970352,Lyz2,8200,13423,2,4975,7248
39970353,Lyz2,8380,13337,1,5155,7162
39970354,Lyz2,10543,6653,1,7318,478
39970355,Lyz2,9464,13687,1,6239,7512
39970356,Lyz2,7593,10226,1,4368,4051
39970357,Lyz2,5870,15732,1,2645,9557
39970358,Lyz2,8756,12564,1,5531,6389
39970359,Lyz2,9056,18472,1,5831,12297
39970360,Lyz2,5934,15760,1,2709,9585
39970361,Lyz2,6541,12577,3,3316,6402
39970362,Lyz2,10077,6599,2,6852,424
39970363,Lyz2,8044,14343,3,4819,8168
