"","barcodes","clusters"
"701","afggaemo-1","16_PEC"
"702","afggnnjh-1","15_MES"
"703","afghjhdo-1","9_LOH"
"704","afgkhobh-1","9_LOH"
"705","afgkpmph-1","9_LOH"
"706","afglocoj-1","9_LOH"
"707","afhbbdic-1","10_ENDO"
"708","afhbgooj-1","10_ENDO"
"709","afhblmej-1","15_MES"
"710","afhepfmi-1","23_LEU"
"711","afhgiflk-1","15_MES"
"712","afhjmanf-1","15_MES"
"713","afhjpgnf-1","15_MES"
"714","afhkdaci-1","15_MES"
"715","afhliaeb-1","10_ENDO"
"716","afhmcecg-1","10_ENDO"
"717","afhnccag-1","15_MES"
"718","afhomnmn-1","10_ENDO"
"719","afiamldl-1","10_ENDO"
"720","afighdka-1","10_ENDO"
"721","afigikga-1","10_ENDO"
"722","afihgjle-1","10_ENDO"
"723","afiipidh-1","15_MES"
"724","afijmgjb-1","22_MES"
"725","afilddlb-1","15_MES"
"726","afilemca-1","15_MES"
"727","afiokago-1","11_IC-A"
"728","afipblhd-1","15_MES"
"729","afipgghb-1","14_IC_B"
"730","afjbdnln-1","4_TAL"
"731","afjeilpg-1","14_IC_B"
"732","afjfaidb-1","15_MES"
"733","afjhpjem-1","14_IC_B"
"734","afjibgdm-1","14_IC_B"
"735","afjjagmf-1","14_IC_B"
"736","afjkibfo-1","11_IC-A"
"737","afjmbgjc-1","14_IC_B"
"738","afkbjbme-1","14_IC_B"
"739","afkckfmn-1","8_PC"
"740","afkhhffm-1","10_ENDO"
"741","afkikmec-1","11_IC-A"
"742","afkjanph-1","14_IC_B"
"743","afkkgedf-1","1_PCT"
"744","afklnedc-1","15_MES"
"745","afkmhhka-1","13_PCT-TAL"
